code3,country,region,year,visa_free_count
PAK,Pakistan,ASIA,2020,32.0
PAK,Pakistan,ASIA,2021,31.0
PAK,Pakistan,ASIA,2022,31.0
PAN,Panama,AMERICAS,2020,142.0
PAN,Panama,AMERICAS,2021,141.0
PAN,Panama,AMERICAS,2022,142.0
PER,Peru,AMERICAS,2020,135.0
PER,Peru,AMERICAS,2021,134.0
PER,Peru,AMERICAS,2022,135.0
PHL,Philippines,ASIA,2020,66.0
PHL,Philippines,ASIA,2021,65.0
PHL,Philippines,ASIA,2022,66.0
PLW,Palau Islands,OCEANIA,2020,120.0
PLW,Palau Islands,OCEANIA,2021,119.0
PLW,Palau Islands,OCEANIA,2022,119.0
PNG,Papua New Guinea,OCEANIA,2020,84.0
PNG,Papua New Guinea,OCEANIA,2021,82.0
PNG,Papua New Guinea,OCEANIA,2022,82.0
POL,Poland,EUROPE,2020,181.0
POL,Poland,EUROPE,2021,182.0
POL,Poland,EUROPE,2022,183.0
PRK,North Korea,ASIA,2020,39.0
PRK,North Korea,ASIA,2021,39.0
PRK,North Korea,ASIA,2022,39.0
PRT,Portugal,EUROPE,2020,186.0
PRT,Portugal,EUROPE,2021,187.0
PRT,Portugal,EUROPE,2022,187.0
PRY,Paraguay,AMERICAS,2020,141.0
PRY,Paraguay,AMERICAS,2021,141.0
PRY,Paraguay,AMERICAS,2022,141.0
PSE,Palestinian Territory,MIDDLE EAST,2020,38.0
PSE,Palestinian Territory,MIDDLE EAST,2021,37.0
PSE,Palestinian Territory,MIDDLE EAST,2022,37.0
QAT,Qatar,MIDDLE EAST,2020,95.0
QAT,Qatar,MIDDLE EAST,2021,97.0
QAT,Qatar,MIDDLE EAST,2022,97.0
ROU,Romania,EUROPE,2020,172.0
ROU,Romania,EUROPE,2021,174.0
ROU,Romania,EUROPE,2022,174.0
RUS,Russian Federation,EUROPE,2020,117.0
RUS,Russian Federation,EUROPE,2021,118.0
RUS,Russian Federation,EUROPE,2022,119.0
RWA,Rwanda,AFRICA,2020,60.0
RWA,Rwanda,AFRICA,2021,61.0
RWA,Rwanda,AFRICA,2022,61.0
SAU,Saudi Arabia,MIDDLE EAST,2020,78.0
SAU,Saudi Arabia,MIDDLE EAST,2021,79.0
SAU,Saudi Arabia,MIDDLE EAST,2022,79.0
SDN,Sudan,AFRICA,2020,40.0
SDN,Sudan,AFRICA,2021,41.0
SDN,Sudan,AFRICA,2022,41.0
SEN,Senegal,AFRICA,2020,56.0
SEN,Senegal,AFRICA,2021,56.0
SEN,Senegal,AFRICA,2022,56.0
SGP,Singapore,ASIA,2020,190.0
SGP,Singapore,ASIA,2021,192.0
SGP,Singapore,ASIA,2022,192.0
SLB,Solomon Islands,OCEANIA,2020,131.0
SLB,Solomon Islands,OCEANIA,2021,131.0
SLB,Solomon Islands,OCEANIA,2022,131.0
SLE,Sierra Leone,AFRICA,2020,63.0
SLE,Sierra Leone,AFRICA,2021,63.0
SLE,Sierra Leone,AFRICA,2022,63.0
SLV,El Salvador,AMERICAS,2020,134.0
